                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.77714,                0.86205,                 1.1464,                0.89113,                0.88622,                0.92905,                0.70818,                0.84306,                0.67504,                 1.2976,               0.004159,               0.004159,               0.004159
                     61,                0.77521,                0.85316,                 1.1485,                0.89412,                0.88802,                0.92639,                0.70789,                0.83884,                0.68218,                 1.2915,                0.00406,                0.00406,                0.00406
                     62,                0.77136,                0.84073,                 1.1438,                0.89874,                0.89243,                0.92729,                0.71075,                0.84534,                0.66651,                 1.3052,               0.003961,               0.003961,               0.003961
                     63,                0.76847,                0.84262,                  1.144,                0.88973,                0.88403,                 0.9306,                0.71011,                0.84601,                0.67167,                 1.3026,               0.003862,               0.003862,               0.003862
                     64,                0.76295,                 0.8393,                 1.1387,                0.89578,                0.89557,                0.92964,                 0.7075,                0.85207,                0.66877,                 1.3095,               0.003763,               0.003763,               0.003763
                     65,                0.76658,                0.83608,                 1.1439,                0.90227,                0.89122,                0.92828,                0.70984,                0.84902,                0.65801,                 1.3124,               0.003664,               0.003664,               0.003664
                     66,                0.76577,                  0.825,                 1.1406,                0.90426,                0.89637,                0.93125,                0.70865,                0.85462,                0.65852,                  1.315,               0.003565,               0.003565,               0.003565
                     67,                 0.7622,                0.83116,                 1.1392,                 0.8997,                0.90356,                0.93388,                0.70916,                0.84894,                0.66128,                  1.312,               0.003466,               0.003466,               0.003466
                     68,                0.75353,                0.80665,                 1.1348,                0.88432,                0.89435,                0.92957,                0.70895,                0.84916,                0.66297,                 1.3137,               0.003367,               0.003367,               0.003367
                     69,                0.75014,                 0.7946,                 1.1316,                 0.8836,                0.89304,                0.93034,                 0.7087,                0.85057,                0.66735,                  1.315,               0.003268,               0.003268,               0.003268
