                  epoch,               box_loss,               cls_loss,               dfl_loss,              precision,                 recall,                  mAP50,               mAP50-95,               box_loss,               cls_loss,               dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.69965,                0.66773,                 1.0912,                0.93244,                0.92303,                0.95893,                0.80314,                0.67235,                0.43273,                 1.1522,               0.003367,               0.003367,               0.003367
                     69,                0.69269,                0.65377,                 1.0893,                0.93238,                0.92343,                0.95872,                0.80474,                0.67066,                0.43242,                 1.1517,               0.003268,               0.003268,               0.003268
                     70,                0.69256,                0.65106,                 1.0889,                0.93544,                  0.925,                0.95895,                0.80578,                0.67068,                0.43287,                 1.1518,               0.003169,               0.003169,               0.003169
                     71,                0.68556,                0.64103,                 1.0829,                0.93134,                0.92099,                0.95675,                0.80527,                0.66936,                0.42766,                 1.1508,                0.00307,                0.00307,                0.00307
                     72,                0.68315,                0.64109,                 1.0859,                0.93875,                0.91612,                0.95942,                0.80519,                0.67246,                 0.4257,                 1.1548,               0.002971,               0.002971,               0.002971
                     73,                0.68176,                0.64158,                 1.0853,                0.92651,                0.93084,                0.96128,                0.80615,                0.67237,                0.42395,                 1.1517,               0.002872,               0.002872,               0.002872
                     74,                0.68053,                0.63605,                 1.0834,                0.92948,                0.93245,                0.95964,                0.80645,                 0.6732,                0.42004,                 1.1534,               0.002773,               0.002773,               0.002773
                     75,                0.67467,                  0.625,                 1.0782,                0.92788,                0.92355,                 0.9607,                 0.8082,                0.67155,                0.41457,                 1.1543,               0.002674,               0.002674,               0.002674
                     76,                0.66876,                0.62736,                 1.0769,                0.92609,                0.92818,                0.95958,                0.80854,                  0.673,                0.41975,                 1.1567,               0.002575,               0.002575,               0.002575
                     77,                0.67443,                0.62741,                 1.0805,                0.92586,                0.92614,                0.95833,                0.80674,                0.67575,                0.42554,                 1.1609,               0.002476,               0.002476,               0.002476
                     78,                0.67217,                0.62288,                 1.0796,                0.92588,                0.92289,                0.95779,                0.80619,                0.67808,                0.42309,                 1.1651,               0.002377,               0.002377,               0.002377
                     79,                0.65839,                0.60136,                 1.0688,                0.92659,                0.92677,                0.95981,                0.80631,                0.67688,                0.42032,                 1.1634,               0.002278,               0.002278,               0.002278
                     80,                0.66063,                0.60428,                 1.0707,                0.92777,                0.92492,                0.95937,                0.80656,                0.67697,                0.41982,                 1.1635,               0.002179,               0.002179,               0.002179
                     81,                 0.6605,                0.61255,                 1.0741,                 0.9275,                0.92353,                0.95882,                0.80438,                0.67781,                0.42219,                 1.1623,                0.00208,                0.00208,                0.00208
                     82,                0.65692,                0.60274,                 1.0716,                0.92969,                0.91775,                0.95885,                0.80458,                0.67788,                0.42432,                 1.1625,               0.001981,               0.001981,               0.001981
                     83,                0.65378,                0.60518,                 1.0684,                0.93587,                0.91516,                0.95754,                0.80321,                0.67837,                0.42497,                 1.1634,               0.001882,               0.001882,               0.001882
                     84,                 0.6488,                0.58278,                 1.0621,                0.93465,                0.91805,                0.95786,                0.80253,                0.67852,                0.42527,                 1.1636,               0.001783,               0.001783,               0.001783
                     85,                0.63927,                0.57781,                 1.0593,                0.93918,                 0.9155,                0.95772,                0.80283,                 0.6782,                 0.4236,                 1.1642,               0.001684,               0.001684,               0.001684
                     86,                0.64139,                0.58198,                 1.0612,                0.93363,                0.92143,                0.95768,                0.80234,                0.67906,                0.42224,                 1.1671,               0.001585,               0.001585,               0.001585
                     87,                0.63985,                0.57813,                 1.0601,                0.93155,                0.92268,                0.95808,                0.80391,                0.67703,                0.42136,                 1.1663,               0.001486,               0.001486,               0.001486
                     88,                0.63724,                0.57582,                 1.0586,                0.93381,                0.92251,                0.95889,                0.80342,                0.67794,                0.42001,                 1.1683,               0.001387,               0.001387,               0.001387
                     89,                0.62893,                0.56499,                 1.0524,                0.93859,                0.91635,                0.95857,                0.80407,                0.67971,                 0.4198,                 1.1703,               0.001288,               0.001288,               0.001288
                     90,                0.63313,                0.57271,                 1.0585,                0.94201,                0.91523,                0.95853,                0.80495,                0.67933,                0.41779,                 1.1693,               0.001189,               0.001189,               0.001189
                     91,                0.62224,                  0.559,                  1.052,                0.94497,                0.91381,                0.95928,                0.80447,                0.68039,                0.41622,                 1.1711,                0.00109,                0.00109,                0.00109
                     92,                0.62205,                0.55275,                 1.0549,                0.94512,                0.91502,                0.95977,                0.80562,                0.67947,                0.41627,                 1.1701,               0.000991,               0.000991,               0.000991
                     93,                0.60979,                0.55159,                 1.0445,                0.94548,                0.91598,                0.95967,                0.80485,                0.68074,                0.41579,                 1.1722,               0.000892,               0.000892,               0.000892
                     94,                0.61608,                0.54612,                 1.0449,                0.94647,                0.91584,                0.95909,                0.80416,                0.68137,                 0.4159,                 1.1729,               0.000793,               0.000793,               0.000793
                     95,                0.61885,                0.55584,                 1.0531,                0.94714,                 0.9163,                0.95872,                0.80315,                0.68212,                0.41646,                 1.1732,               0.000694,               0.000694,               0.000694
                     96,                0.61178,                0.54911,                 1.0499,                0.94739,                0.91374,                0.95897,                0.80431,                0.68093,                0.41766,                 1.1718,               0.000595,               0.000595,               0.000595
                     97,                0.60584,                0.53747,                 1.0403,                0.94481,                0.91574,                0.95883,                0.80355,                0.68174,                0.41792,                 1.1734,               0.000496,               0.000496,               0.000496
                     98,                0.60771,                0.54277,                  1.045,                0.94633,                  0.915,                0.95878,                0.80348,                0.68132,                0.41962,                 1.1726,               0.000397,               0.000397,               0.000397
                     99,                0.60055,                0.53831,                 1.0405,                 0.9469,                0.91501,                0.95863,                0.80336,                0.68219,                0.42026,                 1.1736,               0.000298,               0.000298,               0.000298
